id_produto,nome_produto,sku,id_categoria,fornecedor,preco,peso_kg,estoque_disponivel,ativo,precisa_revisao,data_cadastro_produto,total_pedidos,receita_total,ticket_medio,total_unidades_vendidas,total_avaliacoes,media_nota_produto,media_nota_nps,pct_recomendacoes_sim,total_tickets,media_tempo_resolucao_horas,media_nota_suporte,timestamp_ingestion_gold
PROD-0079,Tênis Casual Feminino,VEST-TÊNIS-CONFECÇÕES-0079,CATEG-0009,Confecções Do Sul,495.00,1.87,-1,Sim,Sim,2022-01-28,123,143352.36,1165.47,370,51,3.37,6.84,70.59,11,50.5,3.18,2026-05-16 20:42:35.119941
PROD-0080,Tênis Esportivo,VEST-TÊNIS-MODA-0080,CATEG-0009,Moda Brasil Atacado,440.00,1.3,459,Sim,Não,2022-12-19,160,145830.66,911.44,421,83,3.8,7.33,77.11,15,78.14,3.07,2026-05-16 20:42:35.119941
PROD-0081,Tênis De Corrida,VEST-TÊNIS-MODA-0081,CATEG-0009,Moda Brasil Atacado,157.00,0.29,150,Sim,Não,2023-07-17,272,95556.85,351.31,757,129,3.57,7.0,75.97,13,46.09,1.62,2026-05-16 20:42:35.119941
PROD-0082,Meia Esportiva Kit Com 3,VEST-MEIA-TEXTILBRASIL-0082,CATEG-0009,Textilbrasil Distribuidora,-1.00,1.06,497,Sim,Sim,2018-04-09,596,129174.72,216.74,1632,301,3.66,7.38,76.74,44,52.61,3.07,2026-05-16 20:42:35.119941
PROD-0083,Cueca Kit Com 3,VEST-CUECA-MODA-0083,CATEG-0009,Moda Brasil Atacado,115.00,1.86,386,Sim,Não,2025-06-02,310,77919.8,251.35,827,152,3.47,6.77,69.74,39,66.74,3.18,2026-05-16 20:42:35.119941
PROD-0084,Sutiã Conforto,VEST-SUTIÃ-TEXTILBRASIL-0084,CATEG-0009,Textilbrasil Distribuidora,117.00,0.93,472,Sim,Não,2019-08-04,277,76119.14,274.8,793,136,3.8,7.58,81.62,18,52.86,3.11,2026-05-16 20:42:35.119941
PROD-0085,Shorts Academia,VEST-SHORTS-MODA-0085,CATEG-0009,Moda Brasil Atacado,42.00,1.14,189,Sim,Não,2023-09-01,581,53072.3,91.35,1576,269,3.72,7.35,76.58,55,73.53,3.04,2026-05-16 20:42:35.119941
PROD-0086,Legging Feminina,VEST-LEGGING-CONFECÇÕES-0086,CATEG-0009,Confecções Do Sul,73.00,1.73,3,Sim,Não,2021-09-21,620,94539.4,152.48,1592,332,3.55,7.09,71.39,67,62.97,2.87,2026-05-16 20:42:35.119941
PROD-0087,Bermuda Masculina,NULL-BERMUDA-FASHION-0087,CATEG-0008,Fashion Import Ltda,75.00,1.68,207,Sim,Não,2021-05-05,637,109726.8,172.26,1765,323,3.72,7.14,77.09,42,58.7,3.12,2026-05-16 20:42:35.119941
PROD-0088,Casaco De Inverno,VEST-CASACO-MODA-0088,CATEG-0009,Moda Brasil Atacado,447.00,1.04,78,Sim,Não,2024-09-19,114,105369.01,924.29,301,67,3.48,6.49,67.16,13,71.67,3.08,2026-05-16 20:42:35.119941
PROD-0089,Blusa De Frio,VEST-BLUSA-MODA-0089,CATEG-0009,Moda Brasil Atacado,235.00,1.76,4,Sim,Não,2019-12-18,311,166984.53,536.93,870,156,3.63,7.37,77.56,22,62.3,3.32,2026-05-16 20:42:35.119941
PROD-0090,Pijama Adulto,VEST-PIJAMA-TEXTILBRASIL-0090,CATEG-0009,Textilbrasil Distribuidora,174.00,0.25,380,Não,Não,2023-07-31,320,116733.86,364.79,808,157,3.61,7.04,71.97,26,76.96,3.27,2026-05-16 20:42:35.119941
PROD-0091,Mochila Escolar,VEST-MOCHILA-CONFECÇÕES-0091,CATEG-0009,Confecções Do Sul,323.00,1.72,457,Sim,Não,2025-03-26,130,96475.44,742.12,360,59,3.64,7.12,72.88,10,52.46,2.7,2026-05-16 20:42:35.119941
PROD-0092,Mochila Executiva,VEST-MOCHILA-FASHION-0092,CATEG-0009,Fashion Import Ltda,386.00,1.75,346,Não,Não,2020-08-27,118,95387.34,808.37,304,56,3.73,7.23,76.79,12,57.8,3.0,2026-05-16 20:42:35.119941
PROD-0093,Bolsa Feminina,VEST-BOLSA-MODA-0093,CATEG-0009,Moda Brasil Atacado,199.00,0.54,21,Sim,Não,2022-12-13,291,128401.19,441.24,788,138,3.71,7.4,78.26,14,71.18,3.93,2026-05-16 20:42:35.119941
PROD-0094,Carteira Masculina,VEST-CARTEIRA-FASHION-0094,CATEG-0009,Fashion Import Ltda,168.00,1.29,170,Sim,Não,2019-12-02,272,99610.37,366.21,752,126,3.76,7.37,77.78,15,46.49,3.6,2026-05-16 20:42:35.119941
PROD-0095,Cinto De Couro,VEST-CINTO-MODA-0095,CATEG-0009,Moda Brasil Atacado,51.00,1.83,224,Sim,Não,2024-10-08,558,67902.46,121.69,1641,286,3.53,6.89,71.33,30,65.56,3.07,2026-05-16 20:42:35.119941
PROD-0096,Boné Aba Curva,VEST-BONÉ-MODA-0096,CATEG-0009,Moda Brasil Atacado,57.00,1.09,139,Sim,Não,2019-08-08,567,69183.37,122.02,1536,292,3.58,7.02,75.68,43,60.22,3.16,2026-05-16 20:42:35.119941
PROD-0097,Chapéu De Palha,VEST-CHAPÉU-CONFECÇÕES-0097,CATEG-0009,Confecções Do Sul,75.00,1.05,-1,Sim,Sim,2024-12-14,544,83873.7,154.18,1380,278,3.58,7.14,75.54,45,53.39,3.47,2026-05-16 20:42:35.119941
